Team,Rider,Date,Race,Class,RaceURL
GONDAVERI,YATES Adam,2026-08-19,Lidl Deutschland Tour,2.Pro,race/deutschland-tour/2026
GONDAVERI,TULETT Ben,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
GONDAVERI,TULETT Ben,2026-10-10,Il Lombardia,1.UWT,race/il-lombardia/2026
GONDAVERI,JOHANNESSEN Tobias Halland,2026-09-27,World Championships ME - Road Race,WC,race/world-championship/2026
GONDAVERI,UIJTDEBROEKS Cian,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
GONDAVERI,BLACKMORE Joseph,2026-08-13,Czech Tour,2.Pro,race/czech-tour/2026
GONDAVERI,AGOSTINACCHIO Mattia,2026-08-30,Philadelphia Cycling Class p/b AmeriGas,1.1,race/philadelphia-international-championship/2026
GONDAVERI,FINN Lorenzo,2026-08-20,Tour de l'Avenir,2.U,race/tour-de-l-avenir/2026
GONDAVERI,FINN Lorenzo,2026-09-25,World Championships MU - Road Race,WC,race/world-championships-u23/2026
GONDAVERI,PERICAS CAPDEVILA Adria,2026-08-05,Volta a Portugal em Bicicleta,2.1,race/volta-a-portugal/2026
LEGNANO,DE LIE Arnaud,2026-08-16,ADAC Cyclassics,1.UWT,race/cyclassics-hamburg/2026
LEGNANO,MAGNIER Paul,2026-08-16,ADAC Cyclassics,1.UWT,race/cyclassics-hamburg/2026
LEGNANO,MAGNIER Paul,2026-08-19,Renewi Tour,2.UWT,race/renewi-tour/2026
LEGNANO,BRENNAN Matthew,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
LEGNANO,CHAMPOUSSIN Clément,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
LEGNANO,SÖDERQVIST Jakob,2026-09-02,ZLM Tour,2.1,race/zlm-tour/2026
LEGNANO,SÖDERQVIST Jakob,2026-09-20,World Championships ME - ITT,WC,race/world-championship-itt/2026
LEGNANO,SÖDERQVIST Jakob,2026-09-27,World Championships ME - Road Race,WC,race/world-championship/2026
LEGNANO,SÖDERQVIST Jakob,2026-10-13,Tour of Holland,2.1,race/tour-of-holland/2026
MARTINONE UNO,ASKEY Lewis,2026-08-30,Bretagne Classic - CIC,1.UWT,race/bretagne-classic/2026
MARTINONE UNO,VERMAERKE Kevin,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
MARTINONE UNO,POOLE Max,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
MARTINONE UNO,GRAAT Tijmen,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
MASTRO BIRRAIO GCP,MERLIER Tim,2026-08-19,Renewi Tour,2.UWT,race/renewi-tour/2026
MASTRO BIRRAIO GCP,ROGLIC Primoz,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
MASTRO BIRRAIO GCP,STRONG Corbin,2026-09-27,World Championships ME - Road Race,WC,race/world-championship/2026
MASTRO BIRRAIO GCP,DEL GROSSO Tibor,2026-08-19,Lidl Deutschland Tour,2.Pro,race/deutschland-tour/2026
MASTRO BIRRAIO GCP,FISHER-BLACK Finn,2026-09-27,World Championships ME - Road Race,WC,race/world-championship/2026
MASTRO BIRRAIO GCP,DE SCHUYTENEER Steffen,2026-09-18,Kampioenschap van Vlaanderen,1.1,race/kampioenschap-van-vlaanderen1/2026
MASTRO BIRRAIO GCP,DE SCHUYTENEER Steffen,2026-09-20,Gooikse pijl p/b Lotto,1.1,race/gooikse-pijl/2026
MASTRO BIRRAIO GCP,DE SCHUYTENEER Steffen,2026-10-11,Paris - Tours Elite,1.Pro,race/paris-tours/2026
MASTRO BIRRAIO GCP,PITHIE Laurence,2026-09-27,World Championships ME - Road Race,WC,race/world-championship/2026
MASTRO BIRRAIO GCP,KÄMNA Lennard,2026-08-19,Lidl Deutschland Tour,2.Pro,race/deutschland-tour/2026
