Rank,Squadra,Punti
1,OFFICINA BOCCETTINI CC,40
2,TOPINA M.B.,25
3,SANROMARIANO,18
4,GIANCICLI WW,15
5,MASTRO BIRRAIO GCP,5
6,PANETTERIA BERGERO,1
7,BABY YODA - OSF,0
8,BERGERO CORSE,0
9,DAINESTO PAGILLO,0
10,DPJ,0
11,GONDAVERI,0
12,LEGNANO,0
13,MARTINONE UNO,0
14,S. PIETROBAUDO,0
